years_of_experience,skill_match_score,interview_score,assessment_score,decision_confidence,feature_count,risk_label,gender,age,caste_proxy,socioeconomic_bg,location_tier,final_decision
13.3,0.174,61.2,49.3,0.724,4,YELLOW,Male,25,OBC,Middle,Metro,Hired
8.1,0.581,38.0,63.7,0.647,2,YELLOW,Male,48,SC,High,Tier-2,Hired
16.3,0.417,30.6,46.0,0.689,9,YELLOW,Male,45,General,High,Metro,Rejected
3.3,0.052,96.6,80.8,0.267,4,YELLOW,Female,57,SC,Middle,Tier-3,Hired
0.5,0.933,72.5,45.4,0.976,5,GREEN,Female,59,General,Middle,Tier-2,Hired
1.8,0.414,84.7,86.3,0.575,9,YELLOW,Female,59,General,Middle,Metro,Rejected
14.4,0.784,75.8,31.7,0.961,4,GREEN,Female,25,OBC,Low,Rural,Rejected
9.2,0.416,86.4,81.6,0.204,5,YELLOW,Male,35,General,Middle,Tier-3,Hired
3.2,0.937,33.0,34.7,0.431,7,RED,Female,39,OBC,Middle,Tier-2,Rejected
10.0,0.29,59.8,62.2,0.366,2,YELLOW,Male,49,General,High,Tier-2,Hired
3.0,0.412,73.4,45.6,0.76,13,RED,Female,57,OBC,Middle,Tier-2,Hired
13.9,0.759,28.3,71.0,0.753,13,YELLOW,Female,53,General,Middle,Tier-2,Rejected
8.9,0.344,32.0,37.0,0.507,10,RED,Male,57,General,Low,Rural,Hired
7.6,0.364,70.7,83.6,0.065,2,YELLOW,Male,21,General,Low,Metro,Rejected
6.0,0.995,89.5,65.9,0.215,7,YELLOW,Male,22,SC,Middle,Tier-2,Rejected
12.6,0.556,72.8,96.6,0.097,5,YELLOW,Male,37,SC,Middle,Tier-3,Rejected
7.2,0.689,22.9,76.9,0.846,3,GREEN,Male,52,General,High,Rural,Hired
1.8,0.643,97.6,68.6,0.322,12,RED,Male,33,ST,Middle,Metro,Hired
2.4,0.828,31.2,86.3,0.161,6,YELLOW,Female,30,General,Low,Metro,Hired
19.2,0.862,38.6,37.6,0.383,9,YELLOW,Male,30,SC,Middle,Tier-3,Hired
18.2,0.563,98.0,70.6,0.123,9,RED,Female,50,ST,Low,Rural,Rejected
14.0,0.295,81.7,51.2,0.97,5,GREEN,Male,51,OBC,High,Tier-3,Hired
5.3,0.023,94.9,79.5,0.346,5,YELLOW,Male,34,General,Middle,Tier-2,Hired
19.4,0.614,84.5,22.0,0.927,13,YELLOW,Male,23,ST,High,Metro,Hired
15.6,0.825,72.1,54.2,0.692,11,YELLOW,Non-binary,29,OBC,Middle,Rural,Rejected
14.3,0.451,42.8,72.1,0.582,7,YELLOW,Male,32,General,Middle,Tier-3,Hired
9.0,0.165,46.2,56.9,0.497,7,YELLOW,Male,39,SC,Middle,Tier-3,Rejected
5.4,0.288,95.8,39.0,0.696,1,GREEN,Male,35,OBC,Low,Rural,Hired
1.9,0.51,88.9,57.1,0.695,3,YELLOW,Male,27,OBC,High,Rural,Rejected
18.1,0.837,48.8,88.0,0.06,1,YELLOW,Non-binary,59,OBC,Middle,Metro,Rejected
9.1,0.172,49.9,36.5,0.903,11,YELLOW,Female,37,ST,Middle,Metro,Rejected
4.0,0.612,43.8,49.4,0.396,13,RED,Male,29,OBC,Middle,Metro,Rejected
6.1,0.753,46.1,99.2,0.382,3,YELLOW,Male,36,SC,Low,Rural,Rejected
11.6,0.936,88.9,93.0,0.432,4,YELLOW,Male,50,General,Low,Tier-2,Hired
3.5,0.117,20.8,22.7,0.694,5,YELLOW,Female,58,OBC,Middle,Tier-2,Hired
17.1,0.926,54.9,62.4,0.403,11,YELLOW,Male,38,OBC,Middle,Metro,Rejected
15.2,0.601,95.4,25.2,0.401,6,YELLOW,Female,42,General,Middle,Tier-2,Rejected
14.4,0.767,63.4,93.9,0.11,1,YELLOW,Male,32,General,High,Metro,Rejected
8.6,0.054,56.0,55.3,0.442,8,YELLOW,Male,48,General,Middle,Rural,Hired
12.5,0.506,45.0,53.5,0.191,2,YELLOW,Female,47,General,High,Tier-2,Rejected
11.7,0.623,25.9,41.8,0.854,9,YELLOW,Female,27,OBC,High,Tier-3,Rejected
13.0,0.307,38.0,65.5,0.364,12,RED,Female,42,General,Low,Metro,Hired
1.7,0.432,27.2,31.6,0.953,1,GREEN,Female,59,SC,Middle,Metro,Hired
8.3,0.554,30.1,83.9,0.693,13,YELLOW,Female,30,SC,Low,Metro,Hired
0.8,0.553,33.1,59.3,0.761,9,YELLOW,Female,40,OBC,Low,Metro,Hired
9.9,0.042,44.2,65.3,0.941,1,YELLOW,Male,47,SC,Low,Tier-3,Hired
6.6,0.439,20.9,87.3,0.275,3,RED,Female,23,OBC,Low,Metro,Hired
2.9,0.214,96.0,34.8,0.583,3,YELLOW,Female,41,ST,High,Tier-2,Rejected
2.1,0.917,29.9,34.0,0.088,12,RED,Female,44,SC,Middle,Metro,Hired
11.8,0.977,50.7,53.7,0.145,10,RED,Female,42,General,Middle,Rural,Rejected
3.4,0.3,90.4,82.9,0.395,5,YELLOW,Male,33,SC,Middle,Metro,Hired
18.5,0.175,28.5,24.7,0.692,7,YELLOW,Female,52,OBC,Middle,Tier-3,Rejected
11.6,0.22,58.7,83.6,0.832,5,GREEN,Female,32,SC,Low,Rural,Hired
6.9,0.478,87.6,60.1,0.291,6,YELLOW,Non-binary,40,General,Middle,Rural,Hired
11.8,0.875,64.6,64.9,0.754,9,YELLOW,Male,33,OBC,High,Tier-3,Rejected
0.5,0.5,36.8,65.2,0.261,3,YELLOW,Non-binary,54,SC,Middle,Tier-2,Hired
19.2,0.055,78.8,24.5,0.056,10,RED,Male,38,ST,Low,Tier-2,Hired
9.6,0.04,74.5,40.0,0.101,13,RED,Female,36,General,Low,Tier-3,Hired
15.7,0.227,49.0,80.4,0.6,13,YELLOW,Female,32,OBC,Middle,Rural,Rejected
1.7,0.843,23.7,53.0,0.517,3,YELLOW,Female,41,General,High,Tier-2,Rejected
9.7,0.621,20.6,64.8,0.304,6,RED,Female,51,SC,Low,Tier-3,Hired
9.8,0.563,86.0,95.6,0.056,4,YELLOW,Non-binary,45,General,Middle,Rural,Rejected
18.8,0.319,45.7,23.7,0.584,9,YELLOW,Male,27,ST,Middle,Metro,Hired
11.4,0.929,31.0,56.0,0.819,5,GREEN,Male,21,OBC,Low,Tier-2,Rejected
9.5,0.331,61.5,48.9,0.114,6,YELLOW,Female,26,General,Middle,Metro,Rejected
5.3,0.835,93.7,28.5,0.742,2,GREEN,Male,55,General,Low,Tier-2,Hired
6.6,0.896,20.7,96.1,0.646,8,YELLOW,Female,25,OBC,Low,Tier-3,Rejected
10.4,0.483,24.5,96.9,0.501,7,YELLOW,Female,27,OBC,High,Tier-2,Rejected
8.8,0.894,53.4,44.9,0.095,8,YELLOW,Female,37,OBC,Middle,Metro,Rejected
0.4,0.277,74.1,95.7,0.918,5,GREEN,Female,28,OBC,High,Tier-3,Rejected
16.5,0.658,58.1,22.8,0.499,10,YELLOW,Male,25,OBC,Middle,Metro,Rejected
17.9,0.088,91.8,98.5,0.426,8,YELLOW,Female,28,General,High,Tier-2,Rejected
2.8,0.474,23.5,86.9,0.86,3,YELLOW,Female,21,General,Middle,Metro,Hired
11.1,0.217,47.2,37.1,0.845,5,YELLOW,Female,41,General,High,Rural,Rejected
2.2,0.063,48.1,68.0,0.734,9,YELLOW,Male,32,General,Low,Tier-2,Hired
13.4,0.004,47.2,83.9,0.83,2,YELLOW,Male,32,SC,High,Tier-3,Rejected
5.6,0.325,59.0,45.5,0.167,5,RED,Female,59,General,Middle,Tier-2,Rejected
13.2,0.59,83.2,48.3,0.765,12,YELLOW,Male,56,OBC,High,Metro,Hired
14.5,0.455,45.4,70.3,0.358,6,RED,Female,21,General,Middle,Metro,Rejected
15.4,0.302,79.6,31.8,0.865,7,YELLOW,Male,56,General,High,Tier-2,Rejected
2.2,0.991,31.7,29.5,0.398,9,YELLOW,Female,23,General,Low,Rural,Rejected
18.3,0.94,64.9,40.0,0.101,5,YELLOW,Female,43,General,Middle,Tier-3,Hired
4.6,0.126,50.0,79.3,0.44,11,RED,Female,43,General,Low,Metro,Rejected
0.7,0.415,63.1,49.3,0.761,1,GREEN,Female,45,SC,High,Tier-2,Hired
11.1,0.649,28.6,60.6,0.521,7,YELLOW,Non-binary,40,General,High,Tier-2,Rejected
7.4,0.733,96.3,35.6,0.768,8,YELLOW,Female,47,OBC,Low,Tier-3,Hired
16.6,0.366,92.5,35.5,0.083,4,YELLOW,Female,25,ST,Middle,Tier-3,Hired
16.2,0.746,86.1,72.0,0.217,11,YELLOW,Male,38,General,High,Tier-2,Rejected
6.3,0.124,91.4,28.7,0.58,2,YELLOW,Female,55,OBC,High,Rural,Hired
19.1,0.332,31.7,73.4,0.412,9,RED,Female,42,SC,Low,Tier-2,Hired
5.8,0.716,60.3,52.1,0.689,9,YELLOW,Male,47,General,Middle,Metro,Rejected
10.3,0.626,45.4,73.7,0.955,11,YELLOW,Female,23,General,Middle,Tier-2,Hired
5.1,0.837,91.0,50.5,0.67,3,GREEN,Male,40,SC,Low,Rural,Hired
18.7,0.047,35.2,87.7,0.442,3,YELLOW,Female,24,General,Middle,Metro,Rejected
3.3,0.174,37.6,24.4,0.56,8,RED,Female,42,General,Low,Metro,Hired
0.9,0.048,74.9,91.5,0.908,13,YELLOW,Male,34,OBC,Middle,Tier-3,Hired
8.7,0.192,27.1,41.5,0.683,11,YELLOW,Male,52,General,Middle,Tier-2,Hired
19.8,0.004,78.6,23.4,0.805,3,YELLOW,Non-binary,51,SC,Middle,Metro,Rejected
17.8,0.504,41.5,65.0,0.333,6,YELLOW,Male,24,SC,High,Tier-3,Rejected
15.0,0.528,72.9,37.9,0.75,4,GREEN,Female,35,SC,Middle,Metro,Rejected
17.8,0.658,89.8,56.7,0.181,11,YELLOW,Female,57,General,Low,Tier-3,Rejected
17.9,0.385,68.8,84.2,0.755,7,YELLOW,Female,21,ST,Middle,Metro,Hired
10.4,0.003,37.0,83.3,0.879,6,YELLOW,Male,25,OBC,Middle,Tier-3,Rejected
6.3,0.674,23.9,68.0,0.896,1,GREEN,Male,57,OBC,Middle,Tier-3,Rejected
15.4,0.054,23.6,98.2,0.16,9,RED,Female,38,SC,Middle,Metro,Rejected
13.2,0.866,27.1,57.1,0.83,6,GREEN,Male,45,SC,Middle,Tier-3,Rejected
7.5,0.023,66.4,23.2,0.153,1,YELLOW,Female,30,OBC,Middle,Tier-2,Hired
1.9,0.53,47.9,85.6,0.5,3,YELLOW,Non-binary,37,OBC,High,Rural,Hired
14.9,0.895,39.4,37.7,0.692,10,YELLOW,Female,46,OBC,Middle,Metro,Rejected
5.2,0.572,37.5,34.1,0.505,10,RED,Male,33,General,Middle,Tier-3,Hired
18.7,0.608,95.9,25.6,0.37,7,YELLOW,Female,53,General,Middle,Rural,Hired
4.8,0.682,29.5,46.2,0.693,10,YELLOW,Male,57,OBC,Middle,Tier-3,Rejected
2.5,0.122,44.4,46.1,0.671,10,YELLOW,Female,45,OBC,Middle,Rural,Rejected
16.6,0.675,57.7,44.2,0.598,9,YELLOW,Male,31,SC,Middle,Tier-2,Rejected
3.1,0.88,20.0,67.5,0.547,3,YELLOW,Female,29,SC,Middle,Tier-3,Rejected
3.6,0.974,93.7,80.1,0.713,6,GREEN,Female,21,OBC,Middle,Tier-2,Rejected
12.0,0.443,27.9,95.0,0.429,11,RED,Male,51,General,Middle,Metro,Rejected
17.5,0.345,74.6,27.5,0.115,5,RED,Male,55,OBC,Low,Tier-2,Rejected
3.9,0.753,70.3,32.0,0.555,9,YELLOW,Female,57,General,High,Tier-2,Hired
6.2,0.543,84.7,67.2,0.73,11,YELLOW,Female,59,SC,Middle,Rural,Hired
15.5,0.257,72.1,27.9,0.331,7,RED,Male,27,OBC,Middle,Tier-3,Rejected
19.4,0.172,81.6,49.7,0.182,7,RED,Female,48,SC,High,Rural,Rejected
10.0,0.17,53.7,70.0,0.907,3,YELLOW,Male,30,General,Middle,Tier-2,Hired
2.9,0.459,59.1,82.4,0.862,7,YELLOW,Female,27,SC,High,Tier-3,Rejected
0.3,0.17,76.1,37.4,0.631,1,YELLOW,Female,41,OBC,High,Tier-2,Hired
4.6,0.02,65.5,73.4,0.789,2,YELLOW,Female,47,General,High,Tier-3,Rejected
2.6,0.052,60.9,71.7,0.961,8,YELLOW,Male,49,OBC,Middle,Metro,Hired
13.6,0.93,36.4,88.8,0.585,3,GREEN,Female,40,General,High,Tier-2,Rejected
2.4,0.073,40.6,45.1,0.28,5,RED,Female,25,General,Low,Metro,Rejected
10.1,0.073,48.7,80.0,0.65,5,YELLOW,Male,23,OBC,Middle,Tier-3,Rejected
13.9,0.451,20.7,80.2,0.91,7,YELLOW,Female,22,General,Middle,Tier-2,Rejected
11.6,0.245,53.4,39.1,0.699,10,YELLOW,Male,50,General,Middle,Rural,Hired
4.0,0.963,20.2,69.7,0.075,6,YELLOW,Female,43,General,Low,Rural,Hired
16.1,0.911,65.2,74.0,0.912,11,GREEN,Female,34,General,Middle,Tier-2,Rejected
14.3,0.405,76.3,42.0,0.758,7,GREEN,Female,52,General,High,Metro,Rejected
14.8,0.449,65.0,56.1,0.428,13,RED,Male,34,General,Low,Tier-2,Rejected
2.6,0.375,75.5,54.9,0.978,13,YELLOW,Female,32,OBC,Middle,Tier-3,Rejected
2.5,0.038,20.0,81.9,0.728,6,YELLOW,Female,52,OBC,Low,Tier-2,Hired
18.6,0.293,24.8,20.1,0.826,10,RED,Female,43,General,Middle,Tier-2,Rejected
8.0,0.123,75.9,60.1,0.937,6,YELLOW,Female,47,OBC,Middle,Rural,Hired
6.0,0.102,84.2,34.7,0.087,12,RED,Male,52,General,Low,Metro,Rejected
9.8,0.561,77.4,71.7,0.778,10,YELLOW,Male,33,General,High,Tier-2,Rejected
13.3,0.099,73.0,74.4,0.413,5,YELLOW,Female,22,OBC,Middle,Rural,Rejected
19.1,0.103,76.6,60.1,0.867,5,GREEN,Female,46,OBC,Middle,Tier-2,Hired
5.7,0.481,79.2,63.4,0.876,12,YELLOW,Male,34,General,High,Rural,Rejected
18.5,0.442,78.0,45.2,0.829,8,YELLOW,Male,58,General,High,Tier-2,Rejected
0.5,0.138,79.0,45.1,0.782,10,YELLOW,Male,32,OBC,High,Tier-2,Rejected
11.1,0.004,25.9,79.6,0.797,9,YELLOW,Male,52,OBC,High,Rural,Hired
12.7,0.193,25.1,30.5,0.329,3,RED,Non-binary,49,OBC,Middle,Metro,Hired
2.1,0.236,48.9,81.7,0.432,4,YELLOW,Male,48,SC,Middle,Metro,Rejected
2.8,0.8,62.2,72.4,0.158,12,RED,Male,46,General,High,Metro,Rejected
8.4,0.915,81.0,90.8,0.831,4,GREEN,Female,23,SC,High,Rural,Hired
19.3,0.406,46.8,40.8,0.657,12,RED,Male,53,SC,Low,Metro,Hired
11.9,0.405,42.0,60.5,0.626,5,YELLOW,Male,31,ST,High,Metro,Hired
18.7,0.712,82.5,23.1,0.281,12,RED,Female,42,General,Low,Metro,Rejected
16.1,0.627,39.9,93.0,0.628,8,YELLOW,Male,31,SC,High,Tier-2,Rejected
9.3,0.184,85.7,74.0,0.477,2,YELLOW,Male,29,General,Low,Metro,Hired
15.7,0.108,34.2,69.8,0.986,4,GREEN,Female,35,General,Middle,Metro,Hired
0.4,0.438,48.8,78.6,0.861,13,RED,Female,37,General,High,Tier-2,Hired
2.2,0.565,52.1,42.7,0.544,3,YELLOW,Female,56,General,Middle,Tier-2,Hired
16.6,0.139,44.0,68.3,0.81,3,GREEN,Male,36,General,Middle,Tier-2,Rejected
15.9,0.293,20.3,84.1,0.205,2,YELLOW,Female,57,General,High,Tier-2,Rejected
4.7,0.306,38.8,27.2,0.145,8,RED,Female,47,OBC,Middle,Tier-3,Rejected
10.6,0.261,47.0,96.7,0.643,11,RED,Male,45,OBC,Middle,Rural,Rejected
12.1,0.461,45.1,91.4,0.733,13,YELLOW,Male,58,OBC,Middle,Tier-3,Rejected
17.4,0.653,82.8,97.0,0.1,12,RED,Female,59,OBC,High,Tier-3,Rejected
12.1,0.509,23.8,84.7,0.239,12,RED,Male,38,General,Middle,Tier-2,Hired
8.3,0.201,51.1,43.5,0.555,12,RED,Female,36,OBC,Middle,Rural,Rejected
7.5,0.103,23.0,66.5,0.109,8,RED,Male,45,OBC,High,Tier-3,Rejected
8.5,0.822,94.5,29.6,0.449,11,YELLOW,Male,28,General,High,Tier-2,Rejected
13.0,0.479,83.2,80.3,0.503,9,YELLOW,Female,27,ST,Middle,Tier-2,Rejected
17.3,0.062,98.6,32.3,0.917,2,YELLOW,Female,33,OBC,High,Metro,Hired
9.1,0.258,92.8,89.3,0.347,1,YELLOW,Male,43,OBC,High,Rural,Hired
5.0,0.804,45.3,39.2,0.209,2,YELLOW,Female,59,OBC,Middle,Metro,Rejected
4.7,0.752,75.3,32.8,0.057,5,RED,Female,49,OBC,Low,Tier-2,Hired
14.9,0.876,44.5,25.7,0.164,7,YELLOW,Male,32,OBC,Middle,Metro,Hired
16.3,0.602,91.1,76.9,0.756,9,YELLOW,Female,50,SC,Low,Metro,Rejected
2.1,0.423,52.9,34.9,0.468,7,YELLOW,Female,41,General,High,Tier-2,Rejected
1.3,0.427,50.1,35.8,0.237,5,RED,Male,58,General,Low,Tier-2,Rejected
11.9,0.194,93.1,33.6,0.927,10,YELLOW,Female,44,General,High,Metro,Rejected
2.9,0.651,86.9,44.5,0.79,12,YELLOW,Non-binary,59,ST,High,Metro,Hired
16.5,0.585,97.3,95.3,0.158,3,YELLOW,Female,51,General,High,Tier-2,Rejected
6.2,0.155,25.3,58.9,0.303,4,YELLOW,Male,41,General,Middle,Tier-3,Rejected
2.9,0.886,39.5,40.9,0.848,13,YELLOW,Female,51,General,High,Tier-3,Hired
18.4,0.368,44.1,33.6,0.701,13,YELLOW,Female,54,OBC,Middle,Rural,Rejected
3.3,0.05,53.9,21.5,0.939,5,YELLOW,Male,29,ST,Low,Metro,Hired
5.7,0.328,57.9,49.2,0.122,7,RED,Female,49,OBC,Middle,Tier-2,Rejected
3.1,0.87,43.3,28.8,0.779,8,YELLOW,Female,59,General,Low,Tier-2,Rejected
2.3,0.917,83.2,22.2,0.122,9,RED,Male,41,SC,High,Metro,Rejected
0.4,0.49,37.9,28.2,0.366,12,RED,Male,38,ST,High,Rural,Rejected
1.1,0.956,75.7,45.5,0.756,2,GREEN,Female,22,SC,High,Metro,Rejected
3.5,0.875,88.1,80.1,0.718,7,YELLOW,Non-binary,49,OBC,High,Tier-2,Rejected
1.1,0.825,68.3,25.4,0.052,3,RED,Male,59,OBC,High,Metro,Rejected
11.8,0.86,48.3,74.3,0.24,10,GREEN,Male,45,SC,High,Tier-2,Hired
13.6,0.382,35.0,69.6,0.782,8,YELLOW,Male,58,SC,Middle,Tier-3,Rejected
7.9,0.756,30.7,90.6,0.169,10,RED,Female,26,OBC,Low,Tier-3,Rejected
6.4,0.577,79.5,34.7,0.357,12,YELLOW,Male,41,OBC,Low,Tier-3,Rejected
10.1,0.72,57.5,83.5,0.223,11,GREEN,Female,51,General,Low,Metro,Hired
17.5,0.178,23.7,89.2,0.155,12,RED,Male,34,General,High,Metro,Rejected
17.0,0.731,98.7,98.1,0.836,11,GREEN,Female,53,General,High,Tier-3,Rejected
0.9,0.958,73.7,84.7,0.108,9,YELLOW,Female,25,SC,Middle,Metro,Rejected
3.6,0.303,87.5,29.9,0.554,6,YELLOW,Female,54,ST,Middle,Tier-2,Hired
4.7,0.986,55.1,95.8,0.701,5,GREEN,Male,23,General,High,Tier-3,Rejected
5.0,0.378,96.4,85.2,0.104,5,YELLOW,Female,24,OBC,Low,Tier-2,Rejected
11.4,0.2,36.0,37.0,0.645,8,YELLOW,Male,52,SC,Low,Tier-2,Hired
8.3,0.112,34.8,33.2,0.364,11,RED,Male,58,General,Middle,Rural,Rejected
1.0,0.785,91.2,94.9,0.834,5,GREEN,Female,36,OBC,Low,Rural,Rejected
7.5,0.555,91.3,32.5,0.8,8,YELLOW,Female,29,SC,High,Metro,Hired
