years_of_experience,skill_match_score,assessment_score,interview_score,decision_confidence,feature_count,institution_tier,career_gap_months,applicant_surname,emotion_score,home_district,caste_indicator,risk_label
1.5,0.686,77.7,5.2,0.583,7,2,17,Singh,0.84,Bastar,OBC,YELLOW
2.8,0.648,83.5,8.2,0.771,5,2,11,Banerjee,0.591,Mewat,General,GREEN
17.6,0.548,43.8,6.4,0.489,9,2,0,Ansari,0.922,Pune,OBC,GREEN
0.3,0.865,94.7,7.4,0.874,6,3,0,Deshmukh,0.384,Bengaluru Urban,ST,GREEN
2.2,0.605,58.4,6.3,0.56,6,1,3,Iyer,0.925,Kalahandi,SC,GREEN
8.3,0.43,31.3,4.5,0.475,7,2,0,Deshmukh,0.804,Pune,SC,GREEN
1.7,0.767,96.1,10.0,0.87,6,3,10,Iyer,0.789,Hyderabad,SC,GREEN
6.2,0.614,53.8,6.5,0.585,3,2,0,Munda,0.874,Bastar,OBC,GREEN
3.6,0.763,97.0,6.1,0.822,8,3,0,Iyer,0.625,Bengaluru Urban,OBC,GREEN
1.8,0.74,88.9,10.0,0.815,3,3,0,Yadav,0.795,Bengaluru Urban,SC,GREEN
4.1,0.575,57.5,7.7,0.651,5,1,0,Sharma,0.777,Mumbai Suburban,General,GREEN
1.5,0.837,86.5,8.9,0.929,6,3,2,Das,0.682,Mumbai Suburban,OBC,GREEN
3.1,0.91,100.0,9.8,0.883,4,4,0,Munda,0.932,Hyderabad,SC,GREEN
5.4,0.501,44.3,4.4,0.471,6,3,0,Verma,0.396,Gaya,OBC,RED
7.1,0.94,91.6,8.2,0.905,6,2,0,Khan,0.64,Gaya,SC,GREEN
2.2,0.763,75.7,9.3,0.856,5,2,0,Munda,0.668,Bengaluru Urban,OBC,GREEN
1.8,0.684,85.3,8.9,0.747,3,4,0,Gupta,0.809,Pune,General,GREEN
0.8,0.439,51.6,4.3,0.396,4,2,0,Paswan,0.963,Gaya,OBC,GREEN
7.4,0.257,36.2,2.6,0.319,4,4,0,Paswan,0.465,Mumbai Suburban,General,YELLOW
15.9,0.853,80.0,10.0,0.899,8,2,2,Meena,0.958,Mumbai Suburban,SC,GREEN
8.0,0.854,88.9,9.4,0.907,6,4,0,Meena,0.742,Bengaluru Urban,General,GREEN
9.4,0.628,55.5,5.2,0.585,10,3,0,Singh,0.966,Hyderabad,OBC,GREEN
1.7,0.828,90.3,9.8,0.87,6,4,5,Iyer,0.668,Mumbai Suburban,OBC,GREEN
5.1,0.285,25.5,3.4,0.305,4,3,0,Kumar,0.723,Pune,OBC,YELLOW
6.7,0.377,73.1,3.4,0.497,3,4,7,Patil,0.95,Pune,SC,GREEN
1.1,0.834,82.9,10.0,0.852,6,3,0,Deshmukh,0.569,Mumbai Suburban,OBC,GREEN
0.2,0.639,74.2,7.2,0.794,4,4,0,Kumar,0.551,Mewat,OBC,GREEN
0.8,0.698,85.1,7.1,0.777,6,3,0,Sharma,0.694,Kalahandi,ST,GREEN
3.1,0.658,74.1,9.7,0.73,8,2,0,Kumar,0.889,Bengaluru Urban,General,GREEN
2.2,0.601,68.1,5.0,0.627,6,4,9,Ansari,0.363,Bengaluru Urban,General,GREEN
5.0,0.724,66.6,5.8,0.608,6,2,0,Gupta,0.804,Pune,General,GREEN
7.4,0.76,100.0,8.3,0.903,10,3,0,Ansari,0.838,Hyderabad,General,GREEN
2.9,0.41,65.7,4.4,0.56,7,4,0,Ansari,0.719,Bengaluru Urban,General,GREEN
3.7,0.506,48.7,4.2,0.43,4,2,0,Menon,0.811,Bastar,OBC,GREEN
0.2,0.377,39.3,6.4,0.518,4,4,0,Iyer,0.92,Hyderabad,OBC,GREEN
9.5,0.867,78.0,7.0,0.803,5,2,0,Khan,0.832,Pune,General,GREEN
6.2,0.306,29.4,2.5,0.324,5,4,0,Yadav,0.444,Mumbai Suburban,General,YELLOW
3.7,0.601,72.2,5.1,0.706,9,4,0,Verma,0.365,Pune,OBC,GREEN
2.1,0.501,73.2,5.5,0.582,3,4,0,Singh,0.788,Mewat,General,YELLOW
4.2,0.803,84.1,8.5,0.794,14,3,1,Patil,0.49,Pune,General,GREEN
1.8,0.612,73.2,9.7,0.727,4,3,0,Menon,0.571,Gaya,General,GREEN
2.5,0.74,87.9,7.9,0.762,5,4,0,Kumar,0.748,Bengaluru Urban,General,GREEN
4.8,0.239,26.0,2.7,0.252,7,4,0,Menon,0.436,Bengaluru Urban,OBC,YELLOW
5.7,0.448,59.8,5.0,0.532,6,3,0,Sharma,0.925,Mumbai Suburban,General,GREEN
5.6,0.803,85.6,8.1,0.837,8,2,0,Munda,0.525,Bastar,General,GREEN
1.7,0.591,73.3,7.1,0.719,5,4,0,Deshmukh,0.829,Hyderabad,ST,GREEN
0.3,0.529,53.8,4.5,0.506,3,4,0,Gupta,0.49,Hyderabad,OBC,GREEN
0.8,0.661,73.3,5.2,0.711,9,2,0,Ansari,0.787,Pune,OBC,GREEN
11.3,0.719,78.8,9.2,0.796,5,2,0,Yadav,0.771,Gaya,General,GREEN
2.3,0.534,76.0,7.3,0.811,5,3,9,Yadav,0.707,Bengaluru Urban,SC,GREEN
3.5,0.28,51.8,4.0,0.431,8,3,18,Munda,0.64,Pune,OBC,YELLOW
7.5,0.715,69.5,6.7,0.65,13,3,0,Menon,0.815,Gaya,OBC,YELLOW
2.8,0.788,94.5,8.8,0.817,5,3,0,Iyer,0.756,Pune,ST,GREEN
7.1,0.418,62.7,4.6,0.526,6,2,23,Iyer,0.894,Pune,General,GREEN
2.7,0.521,52.6,4.5,0.488,5,3,0,Deshmukh,0.493,Pune,General,GREEN
1.9,0.676,58.8,7.0,0.69,3,3,0,Yadav,0.67,Bengaluru Urban,ST,GREEN
14.1,0.902,95.0,7.8,0.901,7,2,0,Iyer,0.977,Gaya,ST,GREEN
8.2,0.497,53.1,8.7,0.629,11,3,17,Banerjee,0.752,Gaya,OBC,RED
9.0,0.623,54.9,5.3,0.525,6,3,0,Patil,0.744,Kalahandi,ST,YELLOW
0.9,0.672,69.3,5.5,0.563,7,2,3,Banerjee,0.621,Bengaluru Urban,OBC,GREEN
1.7,0.662,58.5,7.6,0.647,10,2,0,Verma,0.825,Gaya,ST,GREEN
3.5,0.71,46.7,7.6,0.688,7,2,1,Gupta,0.895,Gaya,OBC,GREEN
2.6,0.697,73.7,8.0,0.755,8,2,1,Meena,0.723,Kalahandi,OBC,GREEN
6.8,0.485,70.2,6.9,0.563,3,3,9,Menon,0.986,Bengaluru Urban,SC,GREEN
5.9,0.979,82.6,8.7,0.9,4,2,0,Meena,0.644,Kalahandi,General,GREEN
10.0,0.743,79.1,8.9,0.827,8,4,0,Banerjee,0.554,Pune,General,GREEN
2.3,0.887,83.5,8.4,0.81,8,3,0,Paswan,0.536,Bengaluru Urban,OBC,GREEN
4.2,0.506,42.0,7.1,0.553,3,3,0,Gupta,0.555,Kalahandi,General,YELLOW
8.7,0.724,66.4,6.2,0.672,7,3,0,Singh,0.582,Gaya,General,GREEN
2.2,0.58,71.3,5.9,0.571,9,4,18,Banerjee,0.715,Bastar,OBC,RED
1.8,0.74,99.1,6.8,0.822,3,4,0,Verma,0.566,Pune,General,GREEN
10.0,0.573,53.1,6.2,0.603,4,1,3,Verma,0.646,Mumbai Suburban,OBC,GREEN
11.5,0.747,83.1,7.9,0.843,13,4,0,Munda,0.661,Mewat,OBC,GREEN
2.6,0.436,46.6,4.5,0.503,5,2,0,Ansari,0.784,Gaya,ST,GREEN
3.5,0.637,47.4,6.7,0.525,7,3,5,Verma,0.625,Pune,SC,GREEN
9.4,0.538,44.9,5.8,0.475,7,4,0,Yadav,0.923,Pune,SC,GREEN
6.6,0.489,69.3,4.7,0.576,3,4,0,Yadav,0.556,Bastar,General,YELLOW
0.6,0.494,44.3,2.7,0.428,5,2,0,Yadav,0.655,Pune,SC,GREEN
1.4,0.596,77.2,5.2,0.655,7,4,9,Paswan,0.661,Mumbai Suburban,OBC,GREEN
3.7,0.701,73.4,5.8,0.864,4,2,0,Ansari,0.828,Hyderabad,OBC,GREEN
7.8,0.789,57.6,7.9,0.747,10,4,0,Kumar,0.655,Gaya,OBC,GREEN
5.3,0.785,71.7,10.0,0.891,10,4,5,Gupta,0.722,Mewat,SC,GREEN
3.7,0.278,48.0,2.5,0.384,3,4,36,Paswan,0.827,Mumbai Suburban,OBC,RED
2.3,0.831,78.7,7.2,0.812,4,3,0,Paswan,0.75,Pune,OBC,GREEN
13.6,0.857,86.9,6.3,0.77,7,4,0,Das,0.659,Bengaluru Urban,OBC,GREEN
3.2,0.818,69.7,9.4,0.856,6,4,0,Das,0.81,Kalahandi,SC,GREEN
7.7,0.384,30.0,4.0,0.323,4,3,0,Meena,0.521,Bastar,ST,RED
3.0,0.431,37.8,2.9,0.354,7,3,0,Munda,0.832,Kalahandi,OBC,RED
0.7,0.809,67.3,8.5,0.753,5,3,0,Paswan,0.897,Bengaluru Urban,OBC,GREEN
4.8,0.47,63.7,4.3,0.516,10,3,1,Menon,0.861,Pune,General,GREEN
6.5,0.437,24.8,6.3,0.554,9,2,0,Deshmukh,0.894,Kalahandi,OBC,GREEN
10.8,0.741,85.4,7.7,0.695,7,3,8,Verma,0.729,Bengaluru Urban,SC,GREEN
3.3,0.548,55.3,8.8,0.695,8,2,12,Iyer,0.554,Hyderabad,OBC,GREEN
2.7,0.577,73.5,5.0,0.523,3,3,0,Yadav,0.484,Hyderabad,OBC,GREEN
4.5,0.473,40.0,4.6,0.421,9,4,0,Yadav,0.96,Bengaluru Urban,OBC,GREEN
1.0,0.89,86.2,7.5,0.888,6,3,0,Khan,0.387,Mumbai Suburban,OBC,GREEN
4.5,0.446,36.2,5.4,0.453,7,3,1,Menon,0.944,Pune,General,GREEN
4.5,0.543,30.2,5.5,0.411,7,3,0,Banerjee,0.855,Kalahandi,ST,YELLOW
3.2,0.634,73.5,5.5,0.604,5,3,0,Munda,0.848,Hyderabad,ST,GREEN
3.3,0.587,67.0,7.6,0.706,10,2,14,Iyer,0.635,Mumbai Suburban,General,GREEN
11.1,0.726,79.8,9.2,0.778,5,3,4,Kumar,0.59,Mumbai Suburban,OBC,GREEN
4.6,0.456,61.7,7.4,0.615,6,4,9,Paswan,0.926,Kalahandi,General,YELLOW
2.6,0.248,25.9,2.2,0.245,5,2,0,Khan,0.721,Pune,SC,GREEN
0.7,0.768,67.4,9.3,0.758,3,2,0,Verma,0.687,Kalahandi,OBC,GREEN
5.5,0.85,87.6,9.5,0.999,9,4,0,Meena,0.573,Bastar,General,GREEN
1.4,0.907,90.6,9.1,0.939,5,3,0,Paswan,0.744,Pune,OBC,GREEN
2.6,0.63,74.1,6.0,0.556,4,3,0,Kumar,0.758,Mewat,OBC,YELLOW
3.9,0.878,89.2,10.0,0.933,6,3,0,Verma,0.908,Bengaluru Urban,SC,GREEN
11.3,0.578,56.6,3.8,0.475,6,3,0,Banerjee,0.546,Bastar,General,YELLOW
8.0,0.736,83.0,10.0,0.898,8,2,9,Yadav,0.72,Mewat,ST,GREEN
4.1,0.817,95.0,8.9,0.846,4,3,0,Gupta,0.839,Mewat,General,GREEN
10.9,0.707,65.5,6.7,0.672,3,4,0,Das,0.752,Pune,General,GREEN
7.2,0.456,38.5,4.0,0.439,5,3,5,Das,0.931,Mumbai Suburban,General,GREEN
0.4,0.203,30.8,2.7,0.304,3,4,9,Munda,0.57,Mumbai Suburban,ST,YELLOW
10.6,0.679,65.4,8.3,0.661,13,4,0,Singh,0.655,Bengaluru Urban,SC,GREEN
4.2,0.387,53.7,5.6,0.478,6,3,7,Paswan,0.822,Mewat,OBC,YELLOW
0.1,0.678,69.7,6.6,0.655,7,4,0,Singh,0.644,Gaya,ST,GREEN
7.7,0.67,60.8,6.4,0.607,10,4,0,Kumar,0.931,Pune,General,GREEN
4.7,0.778,90.3,8.7,0.939,3,3,0,Iyer,0.773,Hyderabad,SC,GREEN
3.5,0.666,90.0,10.0,0.876,6,4,1,Paswan,0.804,Pune,OBC,GREEN
6.8,0.687,73.8,10.0,0.745,9,4,8,Deshmukh,0.527,Mumbai Suburban,General,GREEN
3.5,0.805,88.7,10.0,0.943,5,4,0,Khan,0.567,Pune,SC,GREEN
5.0,0.395,17.6,3.3,0.406,7,4,0,Patil,0.529,Bastar,SC,YELLOW
3.1,0.26,27.4,4.2,0.37,3,3,0,Patil,0.76,Mumbai Suburban,General,GREEN
3.3,0.237,31.8,1.8,0.169,3,3,0,Menon,0.943,Bengaluru Urban,OBC,YELLOW
1.0,0.545,53.1,5.6,0.521,8,3,6,Deshmukh,0.64,Mewat,General,YELLOW
5.3,0.361,42.2,6.2,0.531,4,4,0,Deshmukh,0.855,Bengaluru Urban,General,GREEN
15.3,0.67,59.2,6.3,0.595,8,1,0,Das,0.732,Hyderabad,General,GREEN
2.6,0.883,95.0,8.9,0.93,5,3,0,Sharma,0.842,Bastar,OBC,GREEN
1.5,0.803,81.2,7.8,0.837,6,3,0,Ansari,0.769,Bengaluru Urban,SC,GREEN
2.0,0.507,43.4,4.3,0.411,3,4,0,Kumar,0.895,Mumbai Suburban,OBC,GREEN
0.6,0.679,72.5,6.9,0.695,6,4,0,Ansari,0.744,Pune,ST,GREEN
2.9,0.446,58.9,6.1,0.386,3,3,0,Menon,0.954,Bengaluru Urban,OBC,GREEN
3.2,0.79,89.5,9.4,0.824,5,4,3,Ansari,0.921,Pune,OBC,GREEN
3.6,0.519,46.7,4.6,0.469,9,3,0,Verma,0.42,Mewat,OBC,YELLOW
7.0,0.929,95.0,10.0,0.897,4,4,0,Paswan,0.505,Mewat,General,GREEN
1.9,0.46,50.3,2.5,0.486,3,4,0,Menon,0.872,Pune,OBC,GREEN
2.0,0.658,48.6,7.2,0.55,8,4,0,Paswan,0.698,Kalahandi,SC,YELLOW
0.8,0.384,49.3,3.3,0.38,7,4,0,Patil,0.771,Hyderabad,OBC,GREEN
1.8,0.651,63.7,10.0,0.769,8,4,0,Gupta,0.836,Mewat,SC,GREEN
0.1,0.616,73.9,7.1,0.76,3,3,16,Patil,0.623,Hyderabad,SC,GREEN
7.0,0.922,100.0,10.0,0.902,5,2,0,Menon,0.82,Bengaluru Urban,General,GREEN
1.2,0.668,64.2,8.7,0.785,8,4,0,Yadav,0.684,Bastar,OBC,GREEN
1.2,0.675,69.6,6.7,0.681,4,4,0,Kumar,0.662,Pune,General,GREEN
3.8,0.598,42.2,7.4,0.538,6,2,0,Ansari,0.754,Gaya,OBC,GREEN
1.5,0.773,77.0,9.8,0.864,4,3,0,Iyer,0.747,Pune,OBC,GREEN
1.3,0.768,84.3,9.4,0.86,3,4,0,Menon,0.861,Mumbai Suburban,SC,GREEN
1.1,0.417,35.8,3.9,0.358,3,4,0,Iyer,0.55,Bastar,OBC,RED
